State,City,Avg_Sleepiness,People_Queried_About_Sleep,raw_Crashes_per_Year,Avg_Crash_Severity,Percent_Morning_Crashes,Percent_Evening_Crashes,Crashes_per_Year
NJ,Camden,50.01%,21,3.5,2.5,50.00%,50.00%,0.166666666666667
NJ,Clifton,36.73%,18,2.75,2.181818182,100.00%,9.09%,0.152777777777778
NM,Las Cruces,31.44%,28,0.5,3,100.00%,50.00%,0.0178571428571429
NM,Albuquerque,32.13%,142,5.25,2.619047619,80.95%,19.05%,0.0369718309859155
NM,Santa Fe,27.05%,35,0.75,4,33.33%,66.67%,0.0214285714285714
NY,New Rochelle,34.87%,17,2.5,2.2,60.00%,40.00%,0.147058823529412
NY,Albany,42.88%,55,13.25,2.245283019,49.06%,50.94%,0.240909090909091
NY,Buffalo,42.80%,81,10.75,2.209302326,69.77%,30.23%,0.132716049382716
NY,Mount Vernon,41.09%,22,2,2,75.00%,25.00%,0.0909090909090909
NC,Greensboro,35.58%,84,6.5,2.384615385,88.46%,11.54%,0.0773809523809524
NC,Charlotte,33.75%,202,132.75,2.062146893,77.02%,22.98%,0.657178217821782
NC,Durham,34.67%,65,6.5,1.961538462,73.08%,26.92%,0.1
NY,Rochester,38.27%,117,30.75,2.219512195,65.04%,34.96%,0.262820512820513
NY,Yonkers,35.97%,53,5.5,2.227272727,45.45%,54.55%,0.10377358490566
NC,Asheville,30.45%,35,2.75,2.090909091,90.91%,9.09%,0.0785714285714286
NY,Syracuse,40.38%,58,12.5,2.34,80.00%,20.00%,0.21551724137931
NY,Schenectady,41.23%,22,4.25,2.764705882,70.59%,29.41%,0.193181818181818
NC,Greenville,38.48%,26,21.5,2.11627907,51.16%,48.84%,0.826923076923077
NC,High Point,35.78%,37,1,2.5,100.00%,25.00%,0.027027027027027
NC,Fayetteville,37.21%,74,3,2.75,66.67%,33.33%,0.0405405405405405
NC,Jacksonville,38.60%,185,43.5,2.16091954,49.43%,50.57%,0.235135135135135
NC,Wilmington,37.30%,59,5.25,2.285714286,61.90%,38.10%,0.0889830508474576
NC,Concord,33.17%,58,9.5,1.973684211,68.42%,31.58%,0.163793103448276
OH,Cincinnati,43.06%,120,20.5,2.365853659,74.39%,25.61%,0.170833333333333
OH,Cleveland,43.40%,178,11.25,2.311111111,82.22%,17.78%,0.0632022471910112
OH,Akron,43.42%,70,6,2.583333333,75.00%,25.00%,0.0857142857142857
ND,Fargo,27.47%,27,0.75,2,33.33%,100.00%,0.0277777777777778
OH,Canton,42.04%,32,3.75,3.133333333,60.00%,40.00%,0.1171875
OH,Columbus,40.25%,293,24,2.427083333,76.04%,23.96%,0.0819112627986348
OH,Dayton,45.52%,66,17.25,2.130434783,49.28%,50.72%,0.261363636363636
OK,Edmond,30.34%,24,0.25,2,100.00%,100.00%,0.0104166666666667
OH,Youngstown,45.31%,34,0.75,2.666666667,100.00%,33.33%,0.0220588235294118
OH,Parma,33.95%,24,0.25,2,100.00%,100.00%,0.0104166666666667
OK,Tulsa,34.13%,136,7.5,2.233333333,96.67%,3.33%,0.0551470588235294
OR,Salem,32.69%,42,20.25,2.5,50.62%,49.38%,0.482142857142857
OR,Gresham,32.40%,27,0.5,1,100.00%,50.00%,0.0185185185185185
OR,Eugene,29.82%,46,9.25,2.054054054,72.97%,27.03%,0.201086956521739
OR,Portland,30.72%,184,87.25,2.068767908,70.49%,29.51%,0.474184782608696
OR,Bend,29.66%,14,15.25,2.049180328,45.90%,54.10%,1.08928571428571
OR,Medford,34.30%,24,6.75,2.185185185,55.56%,44.44%,0.28125
OR,Hillsboro,32.15%,26,3.5,2.214285714,64.29%,35.71%,0.134615384615385
PA,Philadelphia,42.24%,383,25,2.26,50.00%,50.00%,0.0652741514360313
PA,Erie,43.24%,32,1.25,3.4,20.00%,80.00%,0.0390625
PA,Allentown,39.48%,28,1.5,2.333333333,50.00%,50.00%,0.0535714285714286
PA,Bethlehem,37.20%,20,1.25,2.6,60.00%,40.00%,0.0625
RI,Pawtucket,41.14%,23,1.5,2.5,66.67%,33.33%,0.0652173913043478
PA,Scranton,36.45%,29,0.25,2,100.00%,100.00%,0.00862068965517241
SC,Rock Hill,41.09%,24,2.75,2,9.09%,90.91%,0.114583333333333
SC,Mount Pleasant,29.71%,14,2,2.75,62.50%,37.50%,0.142857142857143
SD,Sioux Falls,27.34%,41,0.25,2,100.00%,100.00%,0.00609756097560976
PA,Reading,45.36%,29,2.5,2,80.00%,20.00%,0.0862068965517241
TN,Clarksville,41.66%,37,0.5,2,100.00%,50.00%,0.0135135135135135
RI,Cranston,37.67%,19,1,2.75,75.00%,25.00%,0.0526315789473684
SC,North Charleston,39.59%,31,2.75,2.5,72.73%,27.27%,0.0887096774193548
RI,Warwick,35.77%,24,2.5,2.2,80.00%,20.00%,0.104166666666667
TX,Houston,35.90%,604,115.75,2.343412527,57.67%,42.33%,0.191639072847682
TX,Arlington,36.57%,75,20,2.425,61.25%,38.75%,0.266666666666667
TN,Murfreesboro,37.99%,28,1.75,2,71.43%,28.57%,0.0625
TN,Memphis,41.61%,183,17.25,1.898550725,71.01%,28.99%,0.0942622950819672
TN,Knoxville,36.31%,84,5,2.25,50.00%,50.00%,0.0595238095238095
TX,Abilene,33.45%,40,0.25,4,100.00%,100.00%,0.00625
TX,Allen,33.29%,13,0.25,2,100.00%,100.00%,0.0192307692307692
TX,Amarillo,34.14%,57,0.25,4,100.00%,100.00%,0.0043859649122807
TX,Irving,33.79%,55,7.5,2.6,60.00%,40.00%,0.136363636363636
TX,Corpus Christi,34.04%,77,0.25,3,100.00%,100.00%,0.00324675324675325
TX,Carrollton,31.91%,37,4.25,2.470588235,52.94%,47.06%,0.114864864864865
TX,Baytown,34.98%,22,0.25,3,100.00%,100.00%,0.0113636363636364
TX,Dallas,34.40%,321,112.75,2.5,56.76%,43.24%,0.351246105919003
TX,Fort Worth,37.49%,170,19.75,2.35443038,77.22%,22.78%,0.116176470588235
TX,Frisco,31.55%,36,0.5,2.5,50.00%,50.00%,0.0138888888888889
TX,Grand Prairie,35.43%,43,3,2.333333333,50.00%,50.00%,0.0697674418604651
TX,Mesquite,34.48%,36,5.5,2.318181818,54.55%,45.45%,0.152777777777778
TX,Missouri City,36.54%,20,0.5,2,50.00%,100.00%,0.025
TX,Lewisville,31.61%,34,1.5,2.333333333,66.67%,33.33%,0.0441176470588235
TX,League City,34.79%,16,0.75,2.666666667,66.67%,33.33%,0.046875
TX,Pasadena,34.42%,77,14.5,2.137931034,70.69%,29.31%,0.188311688311688
TX,McKinney,33.51%,32,0.5,3.5,100.00%,50.00%,0.015625
TX,Midland,32.72%,28,1.25,3.8,60.00%,40.00%,0.0446428571428571
TX,Longview,35.37%,24,0.5,2.5,50.00%,100.00%,0.0208333333333333
TX,Mission,33.45%,18,1,2,25.00%,75.00%,0.0555555555555556
TX,San Antonio,35.10%,328,24.5,2.326530612,61.22%,38.78%,0.0746951219512195
TX,Richardson,30.98%,27,3.25,2.615384615,61.54%,38.46%,0.12037037037037
TX,Tyler,35.71%,30,5.75,2,8.70%,91.30%,0.191666666666667
TX,Plano,32.62%,60,2,2.5,75.00%,25.00%,0.0333333333333333
TX,Round Rock,33.79%,27,0.5,2.5,50.00%,50.00%,0.0185185185185185
TX,Waco,35.02%,41,0.75,2.333333333,33.33%,66.67%,0.0182926829268293
TX,Pearland,32.61%,17,0.25,3,100.00%,100.00%,0.0147058823529412
WI,Madison,29.32%,70,10.25,2.146341463,63.41%,36.59%,0.146428571428571
UT,Layton,31.18%,21,3.5,2,42.86%,57.14%,0.166666666666667
VA,Newport News,38.51%,46,5.5,2.5,45.45%,54.55%,0.119565217391304
VA,Chesapeake,38.44%,43,7.5,2.3,43.33%,56.67%,0.174418604651163
UT,Sandy,29.00%,31,6.75,2,62.96%,37.04%,0.217741935483871
VA,Norfolk,41.91%,81,10.25,2.268292683,46.34%,53.66%,0.126543209876543
VA,Hampton,43.22%,35,6.25,2.28,68.00%,32.00%,0.178571428571429
VA,Portsmouth,45.56%,33,4.75,2.526315789,68.42%,31.58%,0.143939393939394
UT,Orem,30.19%,26,1.75,2,71.43%,28.57%,0.0673076923076923
VA,Lynchburg,37.09%,21,0.75,2.666666667,100.00%,33.33%,0.0357142857142857
UT,Ogden,34.39%,29,14.75,2.084745763,72.88%,27.12%,0.508620689655172
VT,Burlington,28.77%,13,2.25,2.555555556,77.78%,22.22%,0.173076923076923
UT,West Jordan,31.36%,24,5,1.95,80.00%,20.00%,0.208333333333333
TX,Wichita Falls,38.95%,33,2,2.5,37.50%,62.50%,0.0606060606060606
UT,Provo,30.85%,32,4,2.125,56.25%,43.75%,0.125
WI,Milwaukee,39.90%,216,17.5,2.342857143,81.43%,18.57%,0.0810185185185185
WA,Tacoma,38.08%,56,8.75,2.2,51.43%,48.57%,0.15625
VA,Richmond,38.40%,99,50.5,1.965346535,68.81%,31.19%,0.51010101010101
VA,Roanoke,39.56%,25,3.25,2.384615385,53.85%,46.15%,0.13
VA,Virginia Beach,37.37%,101,7.5,2.3,46.67%,53.33%,0.0742574257425743
WA,Seattle,29.51%,136,43.25,2.341040462,63.01%,36.99%,0.318014705882353
WA,Renton,31.93%,28,4.75,2.368421053,57.89%,42.11%,0.169642857142857
WA,Everett,37.23%,30,4,2.1875,81.25%,18.75%,0.133333333333333
WA,Bellevue,28.49%,32,8.5,2.411764706,61.76%,38.24%,0.265625
WA,Federal Way,32.79%,22,3.75,2.333333333,66.67%,33.33%,0.170454545454545
WA,Auburn,32.40%,22,7,2.357142857,64.29%,35.71%,0.318181818181818
VA,Suffolk,41.21%,30,2.25,2.444444444,44.44%,55.56%,0.075
WA,Bellingham,30.07%,19,1.5,2,50.00%,50.00%,0.0789473684210526
WA,Spokane Valley,31.72%,27,0.25,3,100.00%,100.00%,0.00925925925925926
WI,Appleton,29.81%,27,1.25,3.2,60.00%,40.00%,0.0462962962962963
WA,Vancouver,32.46%,54,3,2,75.00%,25.00%,0.0555555555555556
WV,Charleston,35.50%,71,6.75,2.222222222,70.37%,29.63%,0.0950704225352113
WI,Kenosha,35.04%,30,0.5,2,100.00%,50.00%,0.0166666666666667
WA,Yakima,33.30%,24,0.25,2,100.00%,100.00%,0.0104166666666667
WY,Cheyenne,33.26%,18,0.5,3,50.00%,50.00%,0.0277777777777778
